id_convocatoria,nombre,proposito,tags,quienes_pueden_participar,monto_maximo,moneda,region,ambito,fecha_limite,notas_adicionales
CONV-001,"Fondo de Innovación Tecnológica MinCiencias 2026","Financiar proyectos de I+D+i que desarrollen prototipos tecnológicos con impacto social","tecnología,I+D,innovación,prototipo,ODS 9","Universidades,Centros de investigación,Empresas con alianza académica",250000,USD,Colombia,Nacional,2026-04-15,"Se priorizan proyectos con componente rural y alianzas universidad-empresa. Requiere contrapartida del 20%. Evaluación por pares académicos."
CONV-002,"Convocatoria Agricultura Sostenible FAO","Apoyo a iniciativas que promuevan prácticas agrícolas sostenibles y seguridad alimentaria","agricultura,sostenibilidad,seguridad alimentaria,ODS 2,ODS 12","ONGs,Cooperativas,Organizaciones de productores,Fundaciones",80000,USD,América Latina,Internacional,2026-02-28,"Énfasis en pequeños productores y comunidades vulnerables. Se valora participación de mujeres rurales. Informes trimestrales obligatorios."
CONV-003,"Challenge de Salud Digital BID Lab","Convocatoria para soluciones digitales que mejoren el acceso a servicios de salud","salud,digital,telemedicina,ODS 3,inclusión","Startups,Empresas de base tecnológica,ONGs con soluciones digitales",350000,USD,Latinoamérica,Internacional,2026-05-20,"Preferencia por soluciones ya validadas en campo. Se ofrece mentoría técnica además del financiamiento. Posibilidad de inversión de seguimiento."
CONV-004,"Fondo Verde para el Clima - Pequeñas Donaciones","Financiamiento para proyectos de mitigación y adaptación al cambio climático","cambio climático,mitigación,adaptación,ODS 13,ODS 7","ONGs,Cooperativas,Organizaciones comunitarias,Gobiernos locales",100000,USD,Global,Internacional,2026-06-01,"Proyectos deben demostrar reducción medible de emisiones o aumento de resiliencia. Se requiere carta de apoyo de autoridad local."
CONV-005,"Programa de Economía Naranja MinCultura","Impulsar emprendimientos creativos y culturales con potencial de mercado","cultura,emprendimiento,economía naranja,artesanías,ODS 8","Empresas culturales,Colectivos artísticos,Comunidades indígenas y afro,Cooperativas culturales",60000,USD,Colombia,Nacional,2026-04-30,"Proyectos deben incluir plan de comercialización. Bonificación adicional para comunidades étnicas. Acompañamiento en propiedad intelectual."
CONV-006,"Convocatoria Gestión del Riesgo UNGRD","Financiar sistemas de alerta temprana y preparación comunitaria ante desastres","gestión de riesgo,alerta temprana,desastres,ODS 11,ODS 13,resiliencia","Universidades,ONGs,Gobiernos locales,Centros de investigación",180000,USD,Colombia,Nacional,2026-02-15,"Prioridad para zonas con alto índice de riesgo. Requiere articulación con comités locales de emergencia. Sostenibilidad post-proyecto obligatoria."
CONV-007,"Fondo de Educación Rural Fundación Luminis","Apoyar iniciativas educativas innovadoras en zonas rurales de Colombia","educación,rural,innovación educativa,ODS 4","Fundaciones,ONGs,Instituciones educativas,Cooperativas",50000,USD,Colombia,Nacional,2026-05-10,"Mínimo 70% de beneficiarios deben ser de zonas rurales. Se valoran metodologías innovadoras y uso de tecnología. Informe de impacto a 6 meses."
CONV-008,"Aceleradora de Impacto Social ANDE","Programa de aceleración con financiamiento para empresas con impacto social medible","aceleración,impacto social,emprendimiento,ODS 8,ODS 9","Startups,Empresas sociales,Empresas B certificadas",150000,USD,Global,Internacional,2026-07-01,"Solo empresas con más de 2 años de operación. Requiere métricas de impacto validadas. Incluye componente de equity."
CONV-009,"Fondo de Energías Renovables IRENA","Apoyo a proyectos de energía limpia y eficiencia energética en comunidades","energía renovable,eficiencia energética,ODS 7,transición energética","Cooperativas,Empresas de servicios energéticos,ONGs,Gobiernos locales",200000,USD,Global,Internacional,2026-08-15,"Proyectos deben beneficiar comunidades sin acceso o con acceso limitado a energía. Co-financiamiento requerido del 15%."
CONV-010,"Convocatoria Restauración Ecológica WRI","Financiamiento para proyectos de reforestación y restauración de ecosistemas degradados","reforestación,restauración,ecosistemas,ODS 15,ODS 13","ONGs ambientales,Comunidades locales,Universidades,Organizaciones indígenas",300000,USD,Global,Internacional,2026-04-01,"Mínimo 100 hectáreas a restaurar. Se requiere monitoreo satelital. Preferencia por especies nativas y participación comunitaria."
CONV-011,"Programa PyMEs Verdes Bancóldex","Línea de crédito blando y asistencia técnica para PyMEs en transición verde","PyMEs,sostenibilidad,transición verde,ODS 9,ODS 12","Empresas privadas PyMEs,Cooperativas empresariales",40000,USD,Colombia,Nacional,2026-12-31,"Solo para empresas formalmente constituidas con mínimo 1 año de operación. Tasa preferencial del 5%. Asistencia técnica incluida."
CONV-012,"Fondo de Equidad de Género ONU Mujeres","Apoyo a iniciativas que promuevan la igualdad de género y empoderamiento económico de mujeres","género,empoderamiento,mujeres,ODS 5,ODS 8","ONGs,Fundaciones,Organizaciones de mujeres,Cooperativas lideradas por mujeres",120000,USD,Global,Internacional,2026-06-30,"Mínimo 80% de beneficiarias deben ser mujeres. Liderazgo femenino en el equipo ejecutor obligatorio. Enfoque interseccional valorado."
