id_idea,nombre,descripcion,tags,tipologia_cliente,valor_estimado,moneda,clasificacion_idea,region,ambito
IDEA-001,"Plataforma de monitoreo ambiental IoT","Sistema de sensores IoT para monitoreo de calidad del aire y agua en zonas rurales","IoT,medio ambiente,sensores,calidad del aire,ODS 6,ODS 13,tecnología verde",Universidad,150000,USD,Prototipo tecnológico,Antioquia,Nacional
IDEA-002,"Capacitación en agricultura regenerativa","Programa de formación para pequeños agricultores en técnicas de agricultura sostenible","agricultura,sostenibilidad,capacitación,ODS 2,ODS 12,seguridad alimentaria,comunidades rurales",ONG,45000,USD,Capacitación,Cundinamarca,Regional
IDEA-003,"App móvil para telemedicina rural","Aplicación móvil que conecta pacientes en zonas remotas con médicos especialistas","salud,telemedicina,app móvil,ODS 3,inclusión digital,zonas rurales",Startup,280000,USD,Desarrollo de software,Valle del Cauca,Nacional
IDEA-004,"Biodigestor comunitario para residuos orgánicos","Instalación de biodigestores para convertir residuos agrícolas en biogás y fertilizante","energía renovable,biodigestor,residuos,ODS 7,ODS 12,economía circular",Cooperativa,95000,USD,Piloto,Nariño,Local
IDEA-005,"Marketplace de productos artesanales indígenas","Plataforma e-commerce para comunidades indígenas que venden artesanías tradicionales","artesanías,comunidades indígenas,e-commerce,ODS 8,ODS 10,inclusión económica",Empresa social,120000,USD,Desarrollo de plataforma,Cauca,Nacional
IDEA-006,"Sistema de alerta temprana para inundaciones","Red de sensores y sistema de comunicación para alertas de inundación en comunidades vulnerables","gestión de riesgo,inundaciones,IoT,ODS 11,ODS 13,resiliencia climática",Universidad,200000,USD,Prototipo tecnológico,Chocó,Regional
IDEA-007,"Laboratorio móvil de ciencias para escuelas rurales","Unidad móvil equipada para llevar educación STEM a escuelas sin laboratorios","educación,STEM,rural,ODS 4,laboratorio móvil,innovación educativa",Fundación,75000,USD,Equipamiento educativo,Boyacá,Regional
IDEA-008,"Consultoría en transición energética para PyMEs","Servicio de asesoría para pequeñas empresas en eficiencia energética y energías limpias","consultoría,energía,PyMEs,ODS 7,ODS 9,transición energética",Empresa privada,35000,USD,Consultoría,Bogotá,Nacional
IDEA-009,"Aceleradora de emprendimientos verdes","Programa de aceleración para startups con soluciones ambientales innovadoras","aceleración,emprendimiento,verde,ODS 9,ODS 13,innovación",Empresa privada,500000,USD,Programa de aceleración,Bogotá,Nacional
IDEA-010,"Reforestación con drones y semillas inteligentes","Uso de drones para dispersión masiva de semillas encapsuladas en zonas deforestadas","reforestación,drones,tecnología,ODS 15,ODS 13,restauración ecológica",Startup,180000,USD,Piloto,Amazonas,Internacional
IDEA-011,"Centro de innovación en economía circular","Espacio colaborativo para desarrollo de soluciones de reciclaje y reutilización","economía circular,innovación,reciclaje,ODS 12,centro de innovación",Cooperativa,320000,USD,Infraestructura,Medellín,Regional
IDEA-012,"Programa de becas STEM para mujeres rurales","Iniciativa de becas y mentoría para mujeres jóvenes de zonas rurales en carreras STEM","educación,género,STEM,ODS 4,ODS 5,empoderamiento femenino",Fundación,90000,USD,Programa educativo,Nacional,Nacional
